date,road_condition,weather,latitude,longitude
2023-01-01 08:30:00,Dry,Clear,40.7128,-74.0060
2023-01-01 09:15:00,Wet,Rainy,40.7128,-74.0060
2023-01-01 14:45:00,Dry,Foggy,40.7128,-74.0060
2023-01-02 17:00:00,Dry,Clear,40.7128,-74.0060
2023-01-02 20:30:00,Dry,Clear,40.7128,-74.0060
2023-01-03 12:00:00,Wet,Snow,40.7128,-74.0060
2023-01-03 18:30:00,Wet,Foggy,40.7128,-74.0060
2023-01-04 07:00:00,Dry,Clear,40.7128,-74.0060
2023-01-04 15:30:00,Dry,Rainy,40.7128,-74.0060
2023-01-05 11:00:00,Wet,Rainy,40.7128,-74.0060
2023-01-05 22:00:00,Dry,Foggy,40.7128,-74.0060
